,episode_reward,nb_episode_steps,nb_steps
1043,0.0,50,52145
1044,0.0,50,52195
1045,-4340.0,50,52245
1046,0.0,50,52295
1047,0.0,36,52331
1048,0.0,50,52381
1049,0.0,50,52431
1050,0.0,50,52481
1051,0.0,50,52531
1052,0.0,50,52581
1053,0.0,50,52631
1054,0.0,50,52681
1055,0.0,50,52731
1056,0.0,50,52781
1057,-300.0,50,52831
1058,0.0,50,52881
1059,0.0,50,52931
1060,0.0,50,52981
1061,22.0,50,53031
1062,0.0,50,53081
1063,0.0,50,53131
1064,0.0,50,53181
1065,-3900.0,50,53231
1066,0.0,50,53281
1067,0.0,50,53331
1068,0.0,50,53381
1069,0.0,50,53431
1070,0.0,50,53481
1071,0.0,50,53531
1072,0.0,50,53581
1073,0.0,50,53631
1074,0.0,50,53681
1075,0.0,50,53731
1076,-570.0,50,53781
1077,0.0,50,53831
1078,0.0,50,53881
1079,-1740.0,50,53931
1080,0.0,50,53981
1081,0.0,70,54051
1082,0.0,50,54101
1083,0.0,50,54151
1084,0.0,50,54201
1085,0.0,50,54251
1086,0.0,17,54268
1087,0.0,50,54318
1088,0.0,50,54368
1089,0.0,50,54418
1090,0.0,50,54468
1091,0.0,50,54518
1092,0.0,50,54568
1093,0.0,50,54618
1094,-225.0,50,54668
1095,0.0,50,54718
1096,-355.0,50,54768
1097,86.0,50,54818
1098,0.0,50,54868
1099,0.0,50,54918
1100,0.0,50,54968
1101,0.0,50,55018
1102,0.0,25,55043
1103,0.0,50,55093
1104,0.0,50,55143
1105,-242.0,70,55213
1106,0.0,15,55228
1107,0.0,50,55278
1108,0.0,50,55328
1109,0.0,50,55378
1110,0.0,50,55428
1111,0.0,43,55471
1112,0.0,50,55521
1113,0.0,50,55571
1114,0.0,50,55621
1115,0.0,50,55671
1116,0.0,50,55721
1117,-380.0,50,55771
1118,0.0,50,55821
1119,0.0,50,55871
1120,-5175.0,50,55921
1121,0.0,50,55971
1122,-690.0,70,56041
1123,0.0,50,56091
1124,0.0,50,56141
1125,0.0,50,56191
1126,0.0,50,56241
1127,0.0,50,56291
1128,0.0,50,56341
1129,0.0,50,56391
1130,0.0,50,56441
1131,0.0,50,56491
1132,0.0,50,56541
1133,34.0,50,56591
1134,0.0,50,56641
1135,0.0,50,56691
1136,0.0,50,56741
1137,0.0,13,56754
1138,0.0,50,56804
1139,0.0,50,56854
1140,0.0,50,56904
1141,0.0,50,56954
1142,0.0,50,57004
1143,0.0,50,57054
1144,0.0,50,57104
1145,0.0,50,57154
1146,0.0,50,57204
1147,-80.0,18,57222
1148,-390.0,50,57272
1149,30.0,50,57322
1150,0.0,50,57372
1151,0.0,50,57422
1152,0.0,50,57472
1153,0.0,50,57522
1154,0.0,50,57572
1155,-700.0,50,57622
1156,-450.0,50,57672
1157,0.0,50,57722
1158,0.0,50,57772
1159,0.0,50,57822
1160,-180.0,50,57872
1161,-638.0,50,57922
1162,-290.0,50,57972
1163,0.0,50,58022
1164,0.0,50,58072
1165,0.0,50,58122
1166,0.0,50,58172
1167,0.0,50,58222
1168,0.0,30,58252
1169,0.0,50,58302
1170,0.0,50,58352
1171,0.0,33,58385
1172,0.0,70,58455
1173,0.0,50,58505
1174,0.0,50,58555
1175,0.0,45,58600
1176,0.0,50,58650
1177,0.0,50,58700
1178,0.0,50,58750
1179,0.0,50,58800
1180,-140.0,50,58850
1181,793.0,70,58920
1182,0.0,50,58970
1183,0.0,50,59020
1184,0.0,50,59070
1185,0.0,50,59120
1186,0.0,50,59170
1187,0.0,50,59220
1188,0.0,50,59270
1189,0.0,50,59320
1190,0.0,50,59370
1191,0.0,50,59420
1192,0.0,14,59434
1193,-246.0,50,59484
1194,-180.0,50,59534
1195,0.0,50,59584
1196,0.0,50,59634
1197,0.0,50,59684
1198,0.0,50,59734
1199,-40.0,45,59779
1200,-340.0,50,59829
1201,0.0,50,59879
1202,0.0,50,59929
1203,0.0,50,59979
1204,0.0,50,60029
1205,0.0,48,60077
1206,-200.0,45,60122
1207,0.0,50,60172
1208,0.0,50,60222
1209,0.0,50,60272
1210,0.0,50,60322
1211,-838.0,50,60372
1212,0.0,45,60417
1213,0.0,50,60467
1214,0.0,50,60517
1215,140.0,70,60587
1216,0.0,50,60637
1217,22.0,50,60687
1218,0.0,50,60737
1219,0.0,50,60787
1220,0.0,50,60837
1221,0.0,50,60887
1222,0.0,28,60915
1223,28.0,70,60985
1224,0.0,50,61035
1225,0.0,50,61085
1226,32.0,50,61135
1227,0.0,50,61185
1228,104.0,50,61235
1229,-104.0,50,61285
1230,0.0,50,61335
1231,-440.0,50,61385
1232,0.0,45,61430
1233,-78.0,50,61480
1234,0.0,50,61530
1235,0.0,11,61541
1236,0.0,50,61591
1237,0.0,50,61641
1238,0.0,50,61691
1239,0.0,50,61741
1240,0.0,50,61791
1241,0.0,50,61841
1242,-3150.0,50,61891
1243,0.0,50,61941
1244,0.0,50,61991
1245,0.0,50,62041
1246,0.0,50,62091
1247,0.0,42,62133
1248,0.0,50,62183
1249,0.0,50,62233
1250,0.0,50,62283
1251,0.0,43,62326
1252,-1500.0,50,62376
1253,0.0,50,62426
1254,0.0,50,62476
1255,0.0,50,62526
1256,-5850.0,70,62596
1257,0.0,50,62646
1258,0.0,50,62696
1259,-60.0,50,62746
1260,-670.0,45,62791
1261,0.0,50,62841
1262,0.0,50,62891
1263,-1620.0,50,62941
1264,0.0,50,62991
1265,0.0,50,63041
1266,0.0,50,63091
1267,-3515.0,50,63141
1268,0.0,50,63191
1269,0.0,50,63241
1270,0.0,50,63291
1271,0.0,50,63341
1272,0.0,50,63391
